id,year,author,title,epoch,genre,level,tags
1,1774,"Jakob Michael Reinhold Lenz","Die Soldaten","Sturm und Drang","Drama","BF, LF","lenz_soldaten_1774","Lenz","Soldaten","Jakob Michael Reinhold","Lenz","Sturm und Drang, Sozialkritik, Komödie, Tragödie, Komödie, Militär, Antisemitismus, Geschlechterrollen"
2,1774,"Johann W. Goethe","Die Leiden des jungen Werthers","Sturm und Drang","Roman","10, BF, LF","goethe_werther_1774","Goethe","Werther","Johann W.","Goethe","Briefroman, Sturm und Drang, Empfindsamkeit, Liebe, Freundschaft, Natur, Freiheit, Tod, Sozialkritik, Künstlerexistenz, Geschlechterrollen, Außenseitertum, Identität"
3,1779,"G. E. Lessing","Nathan der Weise ","Aufklärung","Drama","10, BF, LF","lessing_nathan_1779","Lessing","Nathan","G. E.","Lessing","Aufklärung, Toleranz, Religion, Komödie, Tragödie, Kindheit, Liebe, Antisemitismus, Kolonialismus"
4,1787,"Friedrich Schiller","Die Räuber","Sturm und Drang","Drama","10, BF, LF","schiller_raeuber_1787","Schiller","Räuber","Friedrich","Schiller","Drama, Tragödie, Sturm und Drang, Künstlerexistenz, Empfindsamkeit, Aufklärung, Familie, Religion, Sozialkritik, Außenseitertum, Identität, Gewalt, Freiheit"
5,1797,"Wilhelm Tieck","Der blonde Eckbert","Romantik","Erzählung","LF, BF","tieck_eckbert_1797","Tieck","Der blonde Eckbert","Wilhelm","Tieck","Romantik, Novelle, Kunstmärchen, Geschlechterrollen, Adoleszenz, Kindheit, Außenseitertum, Familie, Liebe, Psychologie, Natur"
6,1801,"Dorothea Schlegel","Florentin","Romantik","Erzählung","LF","schlegel_florentin_1805","Schlegel","Florentin","Dorothea","Schlegel","Aufklärung, Romantik, Entwicklungsroman, Freiheit, Liebe, Freundschaft, Religion, Sozialkritik, Geschlechterrollen, Identität"
7,1808,"Johann W. Goethe","Faust I","k. A.","Drama","LF, BF",,,,"Johann W.","Goethe",
8,1814,"Adalbert v. Chamisso","Peter Schlehmils wundersame Geschichte ","Romantik","Erzählung","10, BF, LF","chamisso_schlemihl_1814","Chamisso","Schlemihl","Adalbert","v. Chamisso","Identität, Außenseitertum, Sozialkritik, Kapitalismuskritik, Psychologie, Natur, Künstlerexistenz, Romantik, Novelle"
9,1816,"E. T. A. Hoffmann","Der Sandmann ","Romantik","Erzählung","BF, LF","hoffmann_sandmann_1816","Hoffmann","Sandmann","E. T. A.","Hoffmann","Novelle, Briefroman, Romantik, Kindheit, Aufklärung, Sprachkritik, Psychologie, Künstlerexistenz, Bildende Kunst, Liebe, Freundschaft, Tod, Geschlechterrollen, Identität"
10,1847,"Franz Grillparzer","Der arme Spielmann","Realismus","Novelle","10, BF, LF","grillparzer_spielmann_1847","Grillparzer","Spielmann","Franz","Grillparzer","Außenseitertum, Realismus, Künstlerexistenz, Musik, Bildende Kunst, Geschlechterrollen, Adoleszenz, Identität"
11,1853,"Adalbert Stifter","Turmalin ","Realismus","Erzählung","10, BF, LF","stifter_turmalin_1853","Stifter","Turmalin","Adalbert","Stifter","Großstadt, Bildende Kunst, Musik, Architektur, Psychologie, Natur, Realismus, Novelle, Entwicklungsroman, Künstlerexistenz, Österreichische Literatur, Kindheit, Adoleszenz, Familie, Identität"
12,1891,"Wilhelm Raabe","Stopfkuchen","Spätrealismus","Roman","LF","raabe_stopfkuchen_1891","Raabe","Stopfkuchen","Wilhelm","Raabe","Realismus, Gewalt, Tod, Provinz, (Post-)Kolonialismus, Kindheit, Adoleszenz, Außenseitertum, Geschlechterrollen, Detektivgeschichte, Entwicklungsroman, Familie, Identität"
13,1891,"Frank Wedekind","Frühlings Erwachen","Expressionismus","Drama","BF, LF","wedekind_fruehlings_erwachen_1891","Wedekind","Frühlings Erwachen","Frank","Wedekind","Adoleszenz, Kindheit, Schule, Geschlechterrollen, Tragödie, Erotik und Sexualität, Expressionismus, Sozialkritik, Experimentelle Literatur, Psychologie"
14,1893,"Gerhart Hauptmann","Hanneles Himmelfahrt","Naturalismus","Drama","10, BF, LF","hauptmann_hannele_1893","Hauptmann","Hannele","Gerhart","Hauptmann","Soziales Drama, Sozialkritik, Naturalismus, Neoromantik, Kapitalismuskritik, Gewalt, Religion, Märchen, Tod, Adoleszenz, Geschlechterrollen, Schule"
15,1900,"Arthur Schnitzler","Lieutenant Gustl","Jahrhundertwende","Novelle","BF, LF","schnitzler_lieutnant_gustl_1900","Schnitzler","Lieutnant Gustl","Arthur","Schnitzler","Klassische Moderne, Sozialkritik, Identität, Militär, Geschlechterrollen, Österreichische Literatur, Antisemitismus, Psychologie, Novelle, Experimentelle Literatur"
16,1910,"Rainer M. Rilke","Die Aufzeichnungen des Malte Laurids Brigge","Symbolismus","Roman","LF","rilke_malte_laurids_brigge_1910","Rilke","Malte Laurids Brigge","Rainer M.","Rilke","Österreichische Literatur, Deutschsprachige Literatur in Ost- und Mitteleuropa, Klassische Moderne, Roman, Großstadt, Künstlerexistenz, Sprachkritik, Identität, Außenseitertum, Sozialkritik, Tod, Liebe, Décadence, Geschlechterrollen"
17,1910,"Ricarda Huch","Der letzte Sommer","Neoromantik","Roman","10, BF","huch_der_letzte_sommer_1910","Huch","Der letzte Sommer","Ricarda","Huch","Novelle, Neoromantik, Briefroman, Familie, Liebe, Tod, Sozialkritik, Psychologie, Identität, Geschlechterrollen"
18,1912,"Franz Kafka","Der Process",,"Roman","10, BF, LF","kafka_process_1912","Kafka","Process","Franz","Kafka","Österreichische Literatur, Deutschsprachige Literatur in Ost- und Mitteleuropa, Sozialkritik, Architektur, Klassische Moderne, Detektivroman, Bildungsroman, Außenseitertum, Expressionismus, Tod"
19,1912,"Georg Kaiser","Von morgens bis mitternachts","Expressionismus","Drama","BF, LF","kaiser_morgens_bis_mitternachts_1912","Kaiser","Morgens bis mitternachts","Georg","Kaiser","Klassische Moderne, Expressionismus, Sozialkritik, Kapitalismuskritik, Stationendrama, Identität, Tod, Liebe, Außenseitertum, Geschlechterrollen, Familie"
20,1930,"Thomas Mann","Mario und der Zauberer","k. A.","Novelle","BF","mann_mario_und_der_zauberer_1930","Mann","Mario und der Zauberer","Thomas","Mann","Klassische Moderne, Novelle, Faschismus, Rassismus, Sprachkritik, Familie, Gewalt, Freiheit, Künstlerexistenz"
21,1930,"Joseph Roth","Hiob","k. A.","Roman","BF, LF","roth_hiob_1930","Roth","Hiob","Joseph","Roth","Klassische Moderne, Deutschsprachige Literatur in Ost- und Mitteleuropa, Österreichische Literatur, Religion, Exil, Antisemitismus, Familie, Identität, Sozialkritik, Provinz, Großstadt"
22,1942,"Anna Seghers","Transit","k. A.","Roman","BF, LF","seghers_transit_1942","Seghers","Transit","Anna","Seghers","Exil, Identität, Faschismus, Religion, Antisemitismus, Geschlechterrollen, Identität, Freiheit, Sozialkritik, Migration, Gewalt, Freundschaft, Liebe, Außenseitertum, Künstlerexistenz "
23,1943,"Bertolt Brecht","Der gute Mensch von Sezuan","k. A.","Episches Drama","10, BF, LF","brecht_sezuan_1941","Brecht","Sezuan","Bertolt","Brecht","Episches Theater, Komödie, Tragödie, Religion, Sozialkritik, Kapitalismuskritik, Liebe, Identität, Außenseitertum, Geschlechterrollen "
24,1954,"Wolfgang Koeppen","Tod in Rom","k. A.","Roman","LF",,,,"Wolfgang","Koeppen",
25,1967,"Peter Handke","Kaspar","k. A.","Drama","BF, LF","handke_kaspar_1967","Handke","Kaspar","Peter","Handke","Österreichische Literatur, Sprachkritik, Identität, Erkenntnis, Drama, Adoleszenz, Identität, Experimentelle Literatur, Künstlerexistenz, Außenseitertum"
26,1976,"Thomas Bernhard","Der Keller","k. A.","Erzählung","BF, LF","bernhard_keller_1976","Bernhard","Keller","Thomas","Bernhard","Österreichische Literatur, Neoromantik, Künstlerexistenz, Sprachkritik, Bildungsroman, Identität, Schule, Sozialkritik, Außenseitertum, Familie, Kunst, Musik, Schule, Familie"
27,2001,"W. G. Sebald","Austerlitz","k. A.","Roman","LF",,,,"W. G.","Sebald",
28,2009,"Herta Müller","Atemschaukel","k. A.","Roman","LF",,,,"Herta","Müller",
29,2010,"Lukas Bärfuss","Parzival","k. A.","Drama","BF, LF","bärfuss_parzival_2010","Bärfuss","Parzival","Lukas","Bärfuss","Schweizer Literatur, Episches Drama, Komödie, Identität, Außenseitertum, Experimentelle Literatur, Künstlerexistenz, Sprachkritik, Sozialkritik, Liebe, Tod, Kindheit, Adoleszenz, Schule"
30,2020,"Deniz Ohde","Streulicht","k. A.","Roman",10,"ohde_streulicht_2020","Ohde","Streulicht","Deniz","Ohde","Bildungsroman, Migration, Außenseitertum, Rassismus, Schule, Drogen, Großstadt, Sozialkritik, Künstlerexistenz, Identität, Adoleszenz, Kindheit, Familie, Freundschaft"
31,2021,"Eckhart Nickel","Spitzweg","Popliteratur","Roman","10, BF",,,,"Eckhart","Nickel",
32,2021,"Thomas Hettche","Herzfaden","k.A.","Roman","10, BF","hettche_herzfaden_2020","Hettche","Herzfaden","Thomas","Hettche","Kindheit, Adoleszenz, Entwicklungsroman, Identität, Antisemitismus, Faschismus, Freundschaft, Familie, Schule, Tod, Erotik und Sexualität"
